2016-04-01 12:30:08 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1.2
2016-04-01 12:30:08 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-04-01 12:30:08 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:08 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:08 startup packages configure
2016-04-01 12:30:08 configure cpio:amd64 2.11+dfsg-1ubuntu1.2 <none>
2016-04-01 12:30:08 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1.2
2016-04-01 12:30:08 status half-configured cpio:amd64 2.11+dfsg-1ubuntu1.2
2016-04-01 12:30:08 status installed cpio:amd64 2.11+dfsg-1ubuntu1.2
2016-04-01 12:30:09 startup packages configure
2016-04-01 12:30:10 startup archives unpack
2016-04-01 12:30:11 upgrade git:amd64 1:1.9.1-1ubuntu0.2 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:11 status half-configured git:amd64 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:11 status unpacked git:amd64 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:11 status half-installed git:amd64 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:11 status half-installed git:amd64 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:11 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:11 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:12 startup packages configure
2016-04-01 12:30:12 configure git:amd64 1:1.9.1-1ubuntu0.3 <none>
2016-04-01 12:30:12 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:12 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:12 status half-configured git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:12 status installed git:amd64 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:12 startup packages configure
2016-04-01 12:30:13 startup archives unpack
2016-04-01 12:30:13 upgrade git-man:all 1:1.9.1-1ubuntu0.2 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:13 status half-configured git-man:all 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:13 status unpacked git-man:all 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:13 status half-installed git-man:all 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:13 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:14 status half-installed git-man:all 1:1.9.1-1ubuntu0.2
2016-04-01 12:30:14 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:14 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:14 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-04-01 12:30:14 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:14 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:14 startup packages configure
2016-04-01 12:30:14 configure git-man:all 1:1.9.1-1ubuntu0.3 <none>
2016-04-01 12:30:14 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:15 status half-configured git-man:all 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:15 status installed git-man:all 1:1.9.1-1ubuntu0.3
2016-04-01 12:30:15 startup packages configure
2016-04-01 12:30:50 startup archives unpack
2016-04-01 12:30:50 upgrade gitlab-ce:amd64 8.4.4-ce.0 8.6.2-ce.0
2016-04-01 12:30:50 status half-configured gitlab-ce:amd64 8.4.4-ce.0
2016-04-01 12:30:50 status unpacked gitlab-ce:amd64 8.4.4-ce.0
2016-04-01 12:30:50 status half-installed gitlab-ce:amd64 8.4.4-ce.0
2016-04-01 12:31:14 status half-installed gitlab-ce:amd64 8.4.4-ce.0
2016-04-01 12:31:46 status unpacked gitlab-ce:amd64 8.6.2-ce.0
2016-04-01 12:31:47 status unpacked gitlab-ce:amd64 8.6.2-ce.0
2016-04-01 12:31:47 startup packages configure
2016-04-01 12:31:47 configure gitlab-ce:amd64 8.6.2-ce.0 <none>
2016-04-01 12:31:47 status unpacked gitlab-ce:amd64 8.6.2-ce.0
2016-04-01 12:31:47 status half-configured gitlab-ce:amd64 8.6.2-ce.0
2016-04-01 12:32:34 status installed gitlab-ce:amd64 8.6.2-ce.0
2016-04-01 12:32:35 startup packages configure
2016-04-01 12:32:36 startup archives unpack
2016-04-01 12:32:36 upgrade ifupdown:amd64 0.7.47.2ubuntu4.3 0.7.47.2ubuntu4.4
2016-04-01 12:32:36 status half-configured ifupdown:amd64 0.7.47.2ubuntu4.3
2016-04-01 12:32:36 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.3
2016-04-01 12:32:36 status half-installed ifupdown:amd64 0.7.47.2ubuntu4.3
2016-04-01 12:32:36 status triggers-pending ureadahead:amd64 0.100.0-16
2016-04-01 12:32:36 status half-installed ifupdown:amd64 0.7.47.2ubuntu4.3
2016-04-01 12:32:36 status triggers-pending ureadahead:amd64 0.100.0-16
2016-04-01 12:32:36 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:32:37 status half-installed ifupdown:amd64 0.7.47.2ubuntu4.3
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2016-04-01 12:32:37 status half-configured ureadahead:amd64 0.100.0-16
2016-04-01 12:32:37 status installed ureadahead:amd64 0.100.0-16
2016-04-01 12:32:37 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-04-01 12:32:37 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:32:37 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:32:37 startup packages configure
2016-04-01 12:32:37 configure ifupdown:amd64 0.7.47.2ubuntu4.4 <none>
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:37 status unpacked ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:38 status half-configured ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:38 status installed ifupdown:amd64 0.7.47.2ubuntu4.4
2016-04-01 12:32:38 startup packages configure
2016-04-01 12:32:39 startup archives unpack
2016-04-01 12:32:39 upgrade initramfs-tools:all 0.103ubuntu4.2 0.103ubuntu4.3
2016-04-01 12:32:39 status half-configured initramfs-tools:all 0.103ubuntu4.2
2016-04-01 12:32:39 status unpacked initramfs-tools:all 0.103ubuntu4.2
2016-04-01 12:32:39 status half-installed initramfs-tools:all 0.103ubuntu4.2
2016-04-01 12:32:40 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:32:40 status half-installed initramfs-tools:all 0.103ubuntu4.2
2016-04-01 12:32:40 status unpacked initramfs-tools:all 0.103ubuntu4.3
2016-04-01 12:32:40 status unpacked initramfs-tools:all 0.103ubuntu4.3
2016-04-01 12:32:40 upgrade initramfs-tools-bin:amd64 0.103ubuntu4.2 0.103ubuntu4.3
2016-04-01 12:32:40 status half-configured initramfs-tools-bin:amd64 0.103ubuntu4.2
2016-04-01 12:32:40 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.2
2016-04-01 12:32:40 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4.2
2016-04-01 12:32:40 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4.2
2016-04-01 12:32:40 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.3
2016-04-01 12:32:40 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.3
2016-04-01 12:32:40 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
